Location,Latitude,Longitude
Moon Wall > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.66246,-83.79332
Monastery > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64121,-83.67611
Minas Tirith > Northern Gorge > Red River Gorge > Kentucky,37.8747,-83.66051
Middle Small Wall > Northern Gorge > Red River Gorge > Kentucky,37.8236,-83.58889
Middle Rock > See Rocks > Northern Gorge > Red River Gorge > Kentucky,37.7882,-83.7459
Mariba Fork > Northern Gorge > Red River Gorge > Kentucky,37.9004,-83.5724
Main Wall > Muscle Beach > Northern Gorge > Red River Gorge > Kentucky,37.87506,-83.654
Lumpy Wall > Northern Gorge > Red River Gorge > Kentucky,37.88899,-83.63638
Lower Small Wall > Northern Gorge > Red River Gorge > Kentucky,37.8214,-83.59228
Lost Ridge > Northern Gorge > Red River Gorge > Kentucky,37.8994,-83.6354
Light House Crag > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65724,-83.7903
Ladder Horn Wall > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65598,-83.79357
Knowhere Wall > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65718,-83.79648
K9 Crag > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65718,-83.79648
Jewel Pinnacle > Northern Gorge > Red River Gorge > Kentucky,37.83208,-83.61244
Jazz Rock > Northern Gorge > Red River Gorge > Kentucky,37.8732,-83.6678
Indy Wall > Muir Valley > Red River Gorge > Kentucky,37.7282,-83.6353
Hole New Wall > Hole in the Wall > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64196,-83.70959
Highlands > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64802,-83.67525
Hen's Nest Rock > Northern Gorge > Red River Gorge > Kentucky,37.8229,-83.5836
Haystack Rock > Northern Gorge > Red River Gorge > Kentucky,37.83516,-83.67583
Half Moon Rock > Northern Gorge > Red River Gorge > Kentucky,37.8199,-83.622
Hades > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65787,-83.79038
Gypsy Camp > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.66289,-83.79253
Gun Crag > Natural Bridge Region > Red River Gorge > Kentucky,37.7482,-83.66855
Front Porch Wall > Muir Valley > Red River Gorge > Kentucky,37.72317,-83.6318
Eden (Far Right End) > Buzzards Roost > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65406,-83.7941
East Coast Crag > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65543,-83.78719
Eagle Point Buttress > Northern Gorge > Red River Gorge > Kentucky,37.82621,-83.5621
Dunkan Rock > Northern Gorge > Red River Gorge > Kentucky,37.84626,-83.64173
Dip Wall > Northern Gorge > Red River Gorge > Kentucky,37.8927,-83.6519
Deep End > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.63986,-83.68327
Coyote Cliff > Muir Valley > Red River Gorge > Kentucky,37.7356,-83.64148
Courthouse Rock > Northern Gorge > Red River Gorge > Kentucky,37.84243,-83.67854
Courtesy Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65193,-83.71141
Corner Pocket > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64509,-83.67551
Clearcut Wall > Northern Gorge > Red River Gorge > Kentucky,37.8664,-83.6664
Chaos > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64193,-83.68041
Camp Store Crag > Northern Gorge > Red River Gorge > Kentucky,37.8119,-83.58799
Camelot > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64911,-83.67518
Bouldering area > Muscle Beach > Northern Gorge > Red River Gorge > Kentucky,37.87537,-83.65469
Board Wall > Northern Gorge > Red River Gorge > Kentucky,37.89417,-83.6329
Blue Sky > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65559,-83.79413
Blackburn Rock > Northern Gorge > Red River Gorge > Kentucky,37.87572,-83.70343
Bird Cage Sector > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,37.73488,-83.66201
B-Hole Wall > Hole in the Wall > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64212,-83.70876
Bee Branch > Northern Gorge > Red River Gorge > Kentucky,37.8908,-83.7117
BackStreet > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65522,-83.78679
Apollo Wall > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.66077,-83.79047
Alcatraz > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64264,-83.68139
A-Hole Wall > Hole in the Wall > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64283,-83.70867
